date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:41	58502/58502	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2011:17:56%20GMT	https://www.ekhartyoga.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/index.html	(from )
16:46:41	55/55	---MCZ	200	added ('OK')	text/plain	date:Mon,%2005%20Dec%202022%2011:17:56%20GMT	https://www.ekhartyoga.com/robots.txt		(from )
16:46:42	3771/3771	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202022%2011:25:06%20GMT	https://www.ekhartyoga.com/wp-content/themes/wp-bootstrap-starter-child-master/inc/fonts/fonts.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/wp-content/themes/wp-bootstrap-starter-child-master/inc/fonts/fonts.css	(from https://www.ekhartyoga.com/)
16:46:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2005%20Dec%202022%2011:17:57%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.googletagmanager.com/gtm.15445.delayed	(from https://www.ekhartyoga.com/)
16:46:43	282520/282520	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2011:17:58%20GMT	https://www.ekhartyoga.com/feed	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/feed	(from https://www.ekhartyoga.com/)
16:46:43	282548/282548	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2011:17:58%20GMT	https://www.ekhartyoga.com/comments/feed	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/comments/feed	(from https://www.ekhartyoga.com/)
16:46:44	282554/282554	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2011:17:59%20GMT	https://www.ekhartyoga.com/sample-page/feed	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/sample-page/feed	(from https://www.ekhartyoga.com/)
16:46:45	83419/83419	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2011:30:25%20GMT	https://www.ekhartyoga.com/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/wp-includes/css/dist/block-library/style.min7404.css	(from https://www.ekhartyoga.com/)
16:46:46	3588/3588	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jun%202022%2010:00:04%20GMT	https://www.ekhartyoga.com/wp-content/plugins/codeboxrflexiblecountdown/assets/css/codeboxrflexiblecountdown-public.css?ver=1.8.3	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/wp-content/plugins/codeboxrflexiblecountdown/assets/css/codeboxrflexiblecountdown-public4511.css	(from https://www.ekhartyoga.com/)
16:46:46	99772/99772	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2015:41:12%20GMT	https://www.ekhartyoga.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=4.3.2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.min274c.css	(from https://www.ekhartyoga.com/)
16:46:47	13825/13825	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2010:09:14%20GMT	https://www.ekhartyoga.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.3.2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min274c.css	(from https://www.ekhartyoga.com/)
16:46:47	14965/14965	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2012:36:40%20GMT	https://www.ekhartyoga.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=5.9.3	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day24/Web117/Site117/www.ekhartyoga.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min7404.css	(from https://www.ekhartyoga.com/)
